periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especilizada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,20,19,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,2,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,26,17,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,54,39,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,1,0,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,65,49,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,9,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,29,23,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,8,8,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
ENERO - FEBRERO,2026,05/03/2026,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,24,24,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,25/03/2026
