año,mes,fecha_proceso,distrito_fiscal,tipo_fiscalia,fiscalia,especialidad
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA ESPECIALIZADA EN MATERIA AMBIENTAL DE AMAZONAS,MATERIA AMBIENTAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE BAGUA,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE BONGARÁ,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE CHACHAPOYAS,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE CONDORCANQUI,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE LUYA,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE RODRÍGUEZ DE MENDOZA,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL DE FAMILIA DE UTCUBAMBA,FAMILIA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA CONTRA LA CRIMINALIDAD ORGANIZADA DE BAGUA,CRIMINALIDAD ORGANIZADA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA DE PREVENCIÓN DEL DELITO DE AMAZONAS,PREVENCIÓN DEL DELITO
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS DE AMAZONAS,CORRUPCIÓN DE FUNCIONARIOS
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS DE BAGUA,CORRUPCIÓN DE FUNCIONARIOS
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR DE BAGUA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR DE UTCUBAMBA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL DE BAGUA,MATERIA AMBIENTAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA EN PREVENCIÓN DEL DELITO DE BAGUA,PREVENCIÓN DEL DELITO
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA EN PREVENCIÓN DEL DELITO DE BAGUA-UTCUBAMBA,PREVENCIÓN DEL DELITO
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL ESPECIALIZADA EN TRÁFICO ILÍCITO DE DROGAS DE AMAZONAS - SEDE CHACHAPOYAS,TRÁFICO ILÍCITO DE DROGAS
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE CAJARURO,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE CUMBA,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE IMAZA,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE LA JALCA,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE LEIMEBAMBA,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL MIXTA DE LONYA GRANDE,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE MOLINOPAMPA,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE OCALLI,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL MIXTA DE RIO SANTIAGO,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL MIXTA DE TINGO,MIXTA
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL CORPORATIVA DE BAGUA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHACHAPOYAS,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL CORPORATIVA DE JAZAN,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PROVINCIAL PENAL CORPORATIVA DE RODRÍGUEZ  DE MENDOZA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL CORPORATIVA DE UTCUBAMBA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL DE BONGARA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL DE CONDORCANQUI,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL DE FLORIDA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL PENAL DE LUYA,PENAL
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR DE CONDORCANQUI,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA DE VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR DE CENEPA-HUAMPAMI,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALIA PROVINCIAL ESPECIALIZADA DE VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR DE RIO SANTIAGO-YUTUPIS,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR
2026,2,05/03/2026,AMAZONAS,PROVINCIAL,FISCALÍA PENAL SUPRAPROVINCIAL ESPECIALIZADA EN DERECHOS HUMANOS Y CONTRA EL TERRORISMO DE AMAZONAS,SUPRAPROVINCIAL ESPECIALIZADA EN DERECHOS HUMANOS Y CONTRA EL TERRORISMO
2026,2,05/03/2026,AMAZONAS,SUPERIOR,FISCALÍA SUPERIOR MIXTA DE AMAZONAS,MIXTA
2026,2,05/03/2026,AMAZONAS,SUPERIOR,FISCALÍA SUPERIOR MIXTA DESCENTRALIZADA DE UTCUBAMBA,MIXTA
2026,2,05/03/2026,AMAZONAS,SUPERIOR,FISCALÍA SUPERIOR PENAL DE AMAZONAS,PENAL
2026,2,05/03/2026,AMAZONAS,SUPERIOR,FISCALÍA SUPERIOR PENAL DE BAGUA,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,1ª FISCALÍA PROVINCIAL DE FAMILIA DE HUARAZ,FAMILIA
2026,2,05/03/2026,ANCASH,PROVINCIAL,1º FISCALIA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,1º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,1º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUAYLAS,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,1º FISCALIA PROVINCIAL PENAL CORPORATIVA DE YUNGAY,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,2ª FISCALÍA PROVINCIAL DE FAMILIA DE HUARAZ,FAMILIA
2026,2,05/03/2026,ANCASH,PROVINCIAL,2º FISCALIA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,2º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,2º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUAYLAS,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,2º FISCALIA PROVINCIAL PENAL CORPORATIVA DE YUNGAY,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,3º FISCALIA PROVINCIAL PENAL CORPORATIVA DE CARHUAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,3º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,4º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ,PENAL
2026,2,05/03/2026,ANCASH,PROVINCIAL,5º FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ,PENAL
